# I_{IN}   V_{LDR}   dY
	0.150000 4.640000  0.10
  0.500000 3.920000  0.05
  2.550000 2.720000  0.10
 13.100000 1.760000  0.10
 29.600000 1.440000  0.08
 62.900000 1.280000  0.01
